Time_minute,WATER-1,WATER-2,WATER-G,Total_in,time
2021-07-22T15:45:00Z,0.02,0,0,0.02,1
2021-07-22T15:46:00Z,0.04,0,0,0.04,2
2021-07-22T15:47:00Z,0.04,0,0,0.04,3
2021-07-22T15:48:00Z,0.06,0,0,0.06,4
2021-07-22T15:49:00Z,0.02,0,0,0.02,5
2021-07-22T15:50:00Z,0.01,0,0,0.01,6
2021-07-22T15:51:00Z,0.02,0,0,0.02,7
2021-07-22T15:52:00Z,0.04,0,0,0.04,8
2021-07-22T15:53:00Z,0.05,0,0,0.05,9
2021-07-22T15:54:00Z,0.04,0,0,0.04,10
2021-07-22T15:55:00Z,0.04,0,0,0.04,11
2021-07-22T15:56:00Z,0.03,0,0,0.03,12
2021-07-22T15:57:00Z,0.05,0,0,0.05,13
2021-07-22T15:58:00Z,0.06,0,0,0.06,14
2021-07-22T15:59:00Z,0.04,0,0,0.04,15
2021-07-22T16:00:00Z,0.04,0.03,0,0.07,16
2021-07-22T16:01:00Z,0.02,0.04,0,0.06,17
2021-07-22T16:02:00Z,0.01,0.06,0,0.06999999999999999,18
2021-07-22T16:03:00Z,0,0.04,0,0.04,19
2021-07-22T16:04:00Z,0.01,0.04,0,0.05,20
2021-07-22T16:05:00Z,0,0.05,0,0.05,21
2021-07-22T16:06:00Z,0.01,0.03,0,0.04,22
2021-07-22T16:07:00Z,0,0.02,0,0.02,23
2021-07-22T16:08:00Z,0.01,0.02,0,0.03,24
2021-07-22T16:09:00Z,0,0.01,0,0.01,25
2021-07-22T16:10:00Z,0,0.02,0,0.02,26
2021-07-22T16:11:00Z,0.01,0.03,0,0.04,27
2021-07-22T16:12:00Z,0,0.01,0,0.01,28
2021-07-22T16:13:00Z,0,0.01,0,0.01,29
2021-07-22T16:14:00Z,0.01,0,0,0.01,30
2021-07-22T16:18:00Z,0,0.01,0,0.01,34
2021-07-22T16:23:00Z,0.01,0.01,0,0.02,39
2021-07-22T16:43:00Z,0,0.01,0,0.01,59
2021-07-22T17:22:00Z,0.01,0,0,0.01,98
