"Time_day","WATER-1","WATER-2","WATER-G","Total_in"
2021-10-05,0.41,0.12,0.27,0.8
2021-10-11,0.31,0.31,0.21,0.83
2021-10-12,0.04,0.13,0.26,0.43
2021-10-26,0.25,0.11,0.12,0.48
2021-12-09,0.11,0.2,0.14,0.45
2021-12-14,0.01,0.01,0.27,0.29
2021-12-15,0.11,0.13,0.02,0.26
2021-12-16,0.03,0,0,0.03
2021-12-23,0,0,0,0
2021-12-24,0.16,0.09,0.01,0.26
2021-12-26,0.01,0,0,0.01
2021-12-29,0.1,0.11,0,0.21
2022-01-02,0.04,0,0,0.04
2022-01-03,0.01,0,0,0.01
2022-01-04,0.01,0,0,0.01
2022-01-21,0.01,0,0,0.01
2022-01-22,0.01,0,0,0.01
2022-02-21,0.01,0.09,0.04,0.14
2022-02-22,0.05,0.01,0.01,0.07
2022-02-23,0.13,0.13,0.06,0.32
2022-03-05,0.02,0.04,0.03,0.09
2022-03-10,0.33,0.32,0.27,0.92
2022-03-11,0.18,0.09,0,0.27
2022-03-16,0.1,0.08,0.03,0.21
2022-03-20,0.1,0.06,0.08,0.24
2022-03-29,0.14,0.08,0.03,0.25
2022-04-22,0.05,0.01,0.02,0.08
2022-05-03,0.01,0,0,0.01
2022-05-07,0.01,0,0,0.01
2022-05-09,0.01,0,0,0.01
2022-05-29,0.01,0.02,0.06,0.09
2022-06-22,0.01,0.15,0.03,0.19
2022-06-23,0.01,0,0.01,0.02
2022-06-25,0.02,0.15,0.03,0.2
2022-06-28,0.02,0,0,0.02
2022-06-29,0.14,0.04,0,0.18
2022-06-30,0.6,0.01,0,0.61
2022-07-01,0.02,0,0,0.02
2022-07-05,0.48,0.43,0.14,1.05
2022-07-19,0.01,0,0,0.01
2022-07-24,0.05,0.18,0.33,0.56
2022-07-25,0.03,0,0,0.03
2022-07-26,0.28,0.06,0.02,0.36
2022-07-27,0.67,0.27,0,0.94
2022-07-28,0.5,4.16,0.39,5.05
2022-07-29,0.21,11.75,0,11.96
2022-08-09,0.03,0.02,0.01,0.06
2022-08-10,0.05,0.04,0,0.09
2022-08-12,0.16,0.06,0.06,0.28
2022-08-15,0.03,0.03,0.18,0.24
2022-08-18,0.04,0.02,0,0.06
2022-08-19,0.05,0,0,0.05
2022-08-20,0.01,0,0,0.01
2022-08-26,0.31,0.04,0,0.35
2022-08-27,0.71,0,0,0.71
2022-09-10,0.18,0,0,0.18
2022-09-13,0.29,0.17,0,0.46
2022-09-14,0.39,0.35,0,0.74
2022-09-21,0.09,0,0,0.09
2022-09-29,0.2,0,0,0.2
2022-09-30,0.04,0,0,0.04
2021-12-31,0,0.02,0,0.02
2022-07-14,0,0.01,0,0.01
2022-07-15,0,0.09,0.62,0.71
2022-07-17,0,0.03,0.07,0.1
2022-07-20,0,0.04,0.15,0.19
2022-07-30,0,0.04,0.01,0.05
2022-08-04,0,0.01,0,0.01
2022-08-16,0,0.02,0.01,0.03
2021-10-06,0,0,0.01,0.01
2021-10-18,0,0,0.01,0.01
2021-12-28,0,0,0.04,0.04
2022-02-16,0,0,0,0
2022-03-04,0,0,0.01,0.01
2022-03-09,0,0,0.03,0.03
2022-04-11,0,0,0.36,0.36
2022-04-16,0,0,0.01,0.01
2022-05-01,0,0,0.02,0.02
2022-05-08,0,0,0.16,0.16
2022-06-17,0,0,0.04,0.04
2022-06-18,0,0,0.06,0.06
2022-06-19,0,0,0.02,0.02
2022-06-26,0,0,0.02,0.02
2022-07-11,0,0,0.01,0.01
2022-07-23,0,0,0.05,0.05
