timestep,total_rain_cm
0,0
0.1,58.1931960295815
0.2,87.2897940443722
0.3,87.2897940443722
0.4,87.2897940443722
0.5,87.2897940443722
0.6,87.2897940443722
0.7,87.2897940443722
0.8,87.2897940443722
0.9,87.2897940443722
1,87.2897940443722
1.1,87.2897940443722
1.2,58.1931960295815
1.3,87.2897940443722
1.4,87.2897940443722
1.5,87.2897940443722
1.6,87.2897940443722
1.7,87.2897940443722
1.8,87.2897940443722
1.9,87.2897940443722
2,87.2897940443722
2.1,87.2897940443722
2.2,87.2897940443722
2.3,58.1931960295815
2.4,87.2897940443722
2.5,87.2897940443722
2.6,87.2897940443722
2.7,87.2897940443722
2.8,58.1931960295815
2.9,87.2897940443722
3,87.2897940443722
3.1,87.2897940443722
3.2,87.2897940443722
3.3,87.2897940443722
3.4,87.2897940443722
3.5,87.2897940443722
3.6,87.2897940443722
3.7,87.2897940443722
3.8,87.2897940443722
3.9,87.2897940443722
4,87.2897940443722
4.1,58.1931960295815
4.2,87.2897940443722
4.3,87.2897940443722
4.4,87.2897940443722
4.5,87.2897940443722
4.6,58.1931960295815
4.7,87.2897940443722
4.8,87.2897940443722
4.9,87.2897940443722
5,87.2897940443722
