timestep,volume,discharge
0,0,0
0.1,1.32175222067297e-05,2.20292036778829e-06
0.2,7.7281929109293e-05,1.28803215182155e-05
0.3,0.000195148709111773,3.25247848519622e-05
0.4,0.000367487610769773,6.12479351282956e-05
0.5,0.000605512071261178,0.00010091867854353
0.6,0.000924962230484882,0.00015416037174748
0.7,0.00134588976939974,0.000224314961566623
0.8,0.00189279490392425,0.000315465817320709
0.9,0.00259487260149065,0.000432478766915109
1,0.00348625832054432,0.000581043053424054
1.1,0.00460620526053634,0.000767700876756056
1.2,0.00965618130782435,0.00160936355130406
1.3,0.0136564042692063,0.00227606737820104
1.4,0.019118328267965,0.00318638804466084
1.5,0.0262338643014161,0.00437231071690268
1.6,0.0312044489430148,0.00520074149050247
1.7,0.037574957757622,0.00626249295960365
1.8,0.0474356211048319,0.00790593685080532
1.9,0.0576699196694293,0.00961165327823823
2,0.0715354566150393,0.0119225761025065
2.1,0.093271612523798,0.0155452687539663
2.2,0.11596560054259,0.0193276000904317
2.3,0.140043526361452,0.0233405877269087
2.4,0.171976701141882,0.0286627835236468
2.5,0.208740057801226,0.0347900096335378
2.6,0.252159456155578,0.0420265760259296
2.7,0.305073751151564,0.0508456251919273
2.8,0.362089392018267,0.0603482320030448
2.9,0.425498411869915,0.0709164019783188
3,0.496857169614053,0.082809528269009
3.1,0.579245903535036,0.0965409839225059
3.2,0.667582266710765,0.111263711118461
3.3,0.764741529649494,0.127456921608249
3.4,0.871073775584747,0.145178962597458
3.5,0.986890582278946,0.164481763713158
3.6,1.11594921821224,0.185991536368707
3.7,1.25202560012595,0.208670933354324
3.8,1.39833895243926,0.23305649207321
3.9,1.55506546994999,0.259177578324999
4,1.72630000038596,0.287716666730994
4.1,1.90208652020314,0.317014420033857
4.2,2.08594434847286,0.347657391412141
4.3,2.28559998142041,0.380933330236733
4.4,2.49195497185012,0.415325828641689
4.5,2.70904453493913,0.451507422489857
4.6,2.93361252548475,0.488935420914127
4.7,3.17045022254924,0.528408370424871
4.8,3.41478952611206,0.569131587685341
4.9,3.66983516897833,0.611639194829723
5,3.94075107790764,0.656791846317942
